"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11"
"1" 980 8386 34017 59827 0.624144795918367 0.628766384450274 0.643776323602904 0.754196566767513 33.8364328046745 25.8272832289737 17.0194228776305
"2" 979 10575 48136 64033 0.599570071501532 0.670460605200946 0.694547764666777 0.755667565161714 32.7263529834515 24.8453025843444 17.2444518716912
"3" 9063 36863 131178 245860 0.647742976939203 0.644977476060006 0.667481345957401 0.786948478402343 33.6762441662371 25.3486482009178 16.6099992251688
"4" 754 9024 62052 106855 0.533410344827586 0.59909570035461 0.684316292786695 0.769848165270694 34.289494581117 24.8300333832914 16.9985590791259
"5" 1375 5986 24852 61096 0.649902763636364 0.613976545272302 0.647923120875583 0.803889349548252 34.4215435683261 25.4999371479157 16.4725074816682
"6" 2643 21416 73707 91363 0.552962693908437 0.641035748972731 0.649887402824698 0.75511867386141 33.7785448496451 25.9512929301152 17.3879897967449
"7" 609 1234 6445 21964 0.540694745484401 0.536010696920583 0.549073033359193 0.702883814423602 36.8565751215559 27.690080480993 17.1214527499545
"8" 40 294 3218 16442 0.5965175 0.63681768707483 0.675573896830329 0.808667035640433 32.9644908163265 24.418502454941 15.7924502371974
"9" 136 206 4380 8442 0.683821323529412 0.681247087378641 0.696114885844749 0.749461987680644 31.7141155339806 23.9047090182648 17.6127361407249
"10" 699 3797 30399 126270 0.545557510729614 0.594078324993416 0.663296230139149 0.826044581452443 34.4068851725046 24.7738968518701 15.9786165470816
"11" 2293 15534 69354 150389 0.580596336676843 0.629961400798249 0.664636760677106 0.810956609193492 33.9158617677353 25.3499205020619 16.1816460366117
"12" 206 2487 7456 9842 0.734411650485437 0.763556091676719 0.739532792381974 0.80496957935379 30.2734720144753 24.2484343079399 16.2519666632798
"13" 253 286 3752 38466 0.636892490118577 0.64403986013986 0.658634514925373 0.859402412520148 32.5438045454545 24.4550469882729 14.6704916965632
"14" 2037 12727 40548 53896 0.615869563082965 0.644825897697808 0.68392805317155 0.773243984711296 33.4646584662528 25.0297159785933 17.0011117207214
"15" 1061 4811 24280 60284 0.673051460885957 0.626146622323841 0.648584538714992 0.787515212991839 33.885760860528 25.3982874670511 16.6554477705527
"16" 694 5265 26472 34619 0.575444668587896 0.609577663817664 0.672440454064672 0.752449030878997 34.0655636087369 25.1856661869145 17.4251082180306
"17" 8565 16702 66566 231052 0.679391605370695 0.621952604478506 0.653677864074753 0.832922086802971 34.4463121003473 25.3964511567467 15.7099814730017
"18" 23410 94689 422484 874131 0.615791683041435 0.593717643020837 0.648506386987436 0.780741148294706 34.871778446282 25.5153438066294 16.815968726541
"19" 1242 8271 34563 41626 0.588118921095008 0.62212616370451 0.67434280878396 0.761432446067362 33.7717916696893 25.1462293348378 17.3138624441455
"20" 539 6387 28348 48786 0.639129313543599 0.655771160169093 0.658666544377028 0.758624062230968 32.9815720995773 25.4672716241005 17.1814585454844
"21" 42 456 2954 5382 0.515914285714286 0.558038377192982 0.596115165876777 0.747072445187663 35.5883379385965 26.7699650643196 17.2433462839093
"22" 2187 6097 22432 36775 0.514440649291267 0.541453468919141 0.625421357881598 0.766072236573759 36.5338386747581 26.149757542796 17.0556213433039
"23" 0 1 5 72 0 0.6887 0.6204 0.807630555555556 34.1719 26.31502 14.6010125
"24" 0 3 8 69 0 0.573933333333333 0.6916625 0.835569565217391 34.821 24.53655 14.1149811594203
"25" 357 1644 8585 15437 0.561256022408964 0.570900060827251 0.642447163657542 0.761335337176913 35.1399692822384 25.5896689341875 17.1539956921682
"26" 6722 26457 86714 149688 0.668466230288605 0.621968934497486 0.638535235371451 0.754295954919566 34.3137470990664 25.956716462163 17.1291919459142
"27" 926 10959 60527 79354 0.582077753779698 0.64041280226298 0.702810621706015 0.763236013307458 33.1285598138516 24.5988005352983 17.2416321143232
"28" 14841 44139 148189 249991 0.65714231520787 0.614422601327624 0.647761235989176 0.766855003180114 34.6477457758445 25.7773670758288 17.0212691760903
"29" 41 262 1300 2972 0.570331707317073 0.643747709923664 0.648907461538462 0.758808075370121 33.4927049618321 25.5639684615385 16.5776115410498
"30" 2284 15623 86147 195302 0.644954203152364 0.643226371375536 0.682397847864696 0.801406675302864 33.3704281572041 24.7582296725365 16.7794073204575
"31" 796 7428 23590 31736 0.705960552763819 0.719461214324179 0.689810063586265 0.761660596798588 31.6647908454497 25.1605512505299 17.0256182600202
"32" 1071 10772 49688 119265 0.583394304388422 0.648296407352395 0.661514240862985 0.762361980463673 33.1558436316376 25.3671397983417 16.5498583406699
"33" 73 407 2981 8026 0.556843835616438 0.564981081081081 0.671121536397182 0.774943583354099 35.4425734643735 24.9984779939618 16.8659798654373
"34" 477 2661 12905 24509 0.594979245283019 0.60973833145434 0.651227973653623 0.745445811742625 34.3389047726419 25.5991897249128 17.163548871843
"35" 261 4925 27107 29654 0.590936398467433 0.724917766497462 0.748134382262884 0.781695305860929 31.0129016446701 23.8155357361567 17.1558347238147
"36" 740 1927 10609 25901 0.573847297297297 0.570054436948625 0.641718192101046 0.796151283734219 35.4716812143228 25.415478348572 16.571348843674
"37" 423 4597 19613 17159 0.585117494089834 0.604273156406352 0.674371355733442 0.802580593274666 34.2479169675876 25.3656589761893 17.4517329214989
"38" 11327 36198 98485 124374 0.607157261410788 0.605923236090392 0.613419317662588 0.717487509447312 34.9641644344991 26.5954559161294 17.7330337916285
"39" 28352 79688 220213 319263 0.57707126481377 0.592041594719406 0.649149209174753 0.78350003163536 35.1022216920992 25.740910932143 16.9441334526707
"40" 103 95 269 449 0.685314563106796 0.7207 0.704134200743494 0.804840534521158 31.1227326315789 24.2608843866171 16.5206897550111
"41" 141 2816 15111 10227 0.735311347517731 0.783224857954545 0.788391264641652 0.794783983572895 29.6103680042614 23.1646306531666 17.3160514031485
"42" 765 3712 15102 27143 0.585224836601307 0.562033297413793 0.627018295589988 0.78147262277567 35.9959003232759 26.1328451595815 16.8784972147515
